date,close,previous_day_close,previous_day_high,previous_day_low,previous_day_open,previous_day_volume,1_day_max,1_day_min,3_day_max,3_day_min,5_day_max,5_day_min,day_of_week,previous_day_numerical_sentiment,previous_day_mean_sentiment_probability,previous_day_percent_positive,previous_day_percent_negative,previous_day_percent_neutral
2026-03-25,594.89,592.92,601.0,591.0,599.1,10739742.0,603.67,593.4,608.64,591.0,608.64,591.0,3,-0.1351351351351351,0.8127942753804697,0.1486486486486486,0.2837837837837837,0.5675675675675675
2026-03-26,547.54,594.89,603.67,593.4,598.74,12585031.0,583.0,543.35,603.67,543.35,608.64,543.35,4,-0.2887323943661972,0.8118679112112018,0.0915492957746478,0.380281690140845,0.528169014084507
2026-03-27,525.72,547.54,583.0,543.35,582.49,35780131.0,543.5999,520.26,603.67,520.26,608.64,520.26,5,-0.2461538461538461,0.7984366880013393,0.123076923076923,0.3692307692307692,0.5076923076923077
2026-03-30,536.38,525.72,543.5999,520.26,540.1,30133010.0,539.55,528.54,539.55,528.54,583.0,520.26,1,-0.1153846153846153,0.8055193447149717,0.1442307692307692,0.2596153846153846,0.5961538461538461
2026-03-31,572.13,536.38,539.55,528.54,536.38,22795203.0,573.69,546.77,573.69,528.54,573.69,520.26,2,-0.1818181818181818,0.8056967095895247,0.0909090909090909,0.2727272727272727,0.6363636363636364
2026-04-01,579.23,572.13,573.69,546.77,549.98,32898272.0,592.5465,573.82,592.5465,528.54,592.5465,528.54,3,-0.0923076923076923,0.8127972020552708,0.1692307692307692,0.2615384615384615,0.5692307692307692
2026-04-02,574.46,579.23,592.5465,573.82,580.13,23608128.0,578.5,559.7,592.5465,546.77,592.5465,528.54,4,-0.1764705882352941,0.8040479351492489,0.1470588235294117,0.3235294117647059,0.5294117647058824
2026-04-06,573.02,574.46,578.5,559.7,566.035,13518547.0,582.79,572.0,582.79,572.0,582.79,559.7,1,-0.1111111111111111,0.779322173860338,0.2777777777777778,0.3888888888888889,0.3333333333333333
2026-04-07,575.05,573.02,582.79,572.0,577.69,9515651.0,575.225,564.76,582.79,564.76,582.79,564.76,2,-0.1333333333333333,0.8303335587183635,0.2,0.3333333333333333,0.4666666666666667
2026-04-08,612.42,575.05,575.225,564.76,572.48,9580843.0,629.95,591.83,629.95,564.76,629.95,564.76,3,-0.1111111111111111,0.7994968824916415,0.3333333333333333,0.4444444444444444,0.2222222222222222
2026-04-09,628.39,612.42,629.95,591.83,606.0,32036638.0,637.5,623.0,637.5,564.76,637.5,564.76,4,0.09375,0.7916800593957305,0.21875,0.125,0.65625
2026-04-10,629.86,628.39,637.5,623.0,626.97,19012912.0,638.58,624.33,638.58,591.83,638.58,564.76,5,0.1944444444444444,0.750332408481174,0.3055555555555556,0.1111111111111111,0.5833333333333334
2026-04-13,634.53,629.86,638.58,624.33,634.47,13294844.0,635.0,624.4,635.0,624.4,638.58,623.0,1,0.088235294117647,0.7734122767167932,0.2352941176470588,0.1470588235294117,0.6176470588235294
2026-04-14,662.49,634.53,635.0,624.4,629.5,9538931.0,666.26,639.3705,666.26,624.4,666.26,624.33,2,0.25,0.7757257620493571,0.25,0.0,0.75
2026-04-15,671.58,662.49,666.26,639.3705,643.22,17817956.0,678.5,664.22,678.5,624.4,678.5,624.4,3,0.1052631578947368,0.8023640074227986,0.2631578947368421,0.1578947368421052,0.5789473684210527
2026-04-16,676.87,671.58,678.5,664.22,667.0,14952577.0,677.58,667.75,678.5,639.3705,678.5,624.4,4,0.0,0.7865924320437692,0.2424242424242424,0.2424242424242424,0.5151515151515151
2026-04-17,688.55,676.87,677.58,667.75,675.99,9544835.0,691.52,675.13,691.52,664.22,691.52,624.4,5,0.3333333333333333,0.7838166654109955,0.3333333333333333,0.0,0.6666666666666666
2026-04-20,670.91,688.55,691.52,675.13,678.6,16283480.0,683.38,668.0,683.38,668.0,691.52,667.75,1,0.0625,0.786712821573019,0.1875,0.125,0.6875
2026-04-21,668.84,670.91,683.38,668.0,681.36,12533951.0,676.2,667.33,683.38,667.33,691.52,667.33,2,0.3461538461538461,0.7958403458962073,0.3846153846153846,0.0384615384615384,0.5769230769230769
2026-04-22,674.72,668.84,676.2,667.33,671.0,8660100.0,678.38,669.75,683.38,667.33,683.38,667.33,3,0.1538461538461538,0.7835191866526237,0.2692307692307692,0.1153846153846153,0.6153846153846154
2026-04-23,659.15,674.72,678.38,669.75,674.355,9215603.0,669.56,653.05,678.38,653.05,683.38,653.05,4,0.0476190476190476,0.8287804694402785,0.2857142857142857,0.238095238095238,0.4761904761904761
2026-04-24,675.03,659.15,669.56,653.05,663.7,11666981.0,680.67,653.8401,680.67,653.05,683.38,653.05,5,0.0,0.8010609437312398,0.1785714285714285,0.1785714285714285,0.6428571428571429
2026-04-27,678.62,675.03,680.67,653.8401,660.32,13348279.0,682.5,670.84,682.5,670.84,682.5,653.05,1,-0.1388888888888889,0.7709043464726872,0.1388888888888889,0.2777777777777778,0.5833333333333334
2026-04-28,671.34,678.62,682.5,670.84,670.995,12805222.0,678.18,665.625,682.5,665.625,682.5,653.8401,2,0.0,0.790488254456293,0.238095238095238,0.238095238095238,0.5238095238095238
2026-04-29,669.12,671.34,678.18,665.625,674.24,10606755.0,674.25,663.8084,682.5,663.8084,682.5,663.8084,3,-0.173076923076923,0.8054173577290314,0.173076923076923,0.3461538461538461,0.4807692307692308
2026-04-30,611.91,669.12,674.25,663.8084,668.91,18947464.0,620.85,600.0,678.18,600.0,682.5,600.0,4,-0.0952380952380952,0.792179567946328,0.238095238095238,0.3333333333333333,0.4285714285714285
2026-05-01,608.745,611.91,620.85,600.0,619.32,52764984.0,618.88,606.11,674.25,600.0,682.5,600.0,5,0.0481927710843373,0.8090890660343399,0.3493975903614458,0.3012048192771084,0.3493975903614458
2026-05-04,610.41,608.745,618.88,606.11,614.69,21404028.0,614.0,602.7501,614.0,602.7501,620.85,600.0,1,0.0625,0.7813670411705971,0.28125,0.21875,0.5
2026-05-05,604.96,610.41,614.0,602.7501,607.935,16203902.0,614.35,600.36,614.35,600.36,618.88,600.36,2,0.1739130434782608,0.7563549694807633,0.217391304347826,0.0434782608695652,0.7391304347826086
2026-05-06,612.88,604.96,614.35,600.36,613.31,17171301.0,619.95,598.1,619.95,598.1,619.95,598.1,3,0.0256410256410256,0.8319568358934842,0.2564102564102564,0.2307692307692307,0.5128205128205128
2026-05-07,616.81,612.88,619.95,598.1,601.05,19915460.0,624.98,613.5401,624.98,598.1,624.98,598.1,4,0.0344827586206896,0.8208925271856373,0.2068965517241379,0.1724137931034483,0.6206896551724138
2026-05-08,609.63,616.81,624.98,613.5401,614.72,12307372.0,616.77,606.0601,624.98,598.1,624.98,598.1,5,-0.081081081081081,0.8470994491834898,0.2432432432432432,0.3243243243243243,0.4324324324324324
